s;0
a;0
d;0
f;0
l;1
k;1
j;1
semi;1
e;2
i;3
period;4
comma;5
r;6
n;7
t;8
o;9
c;10
shift;11
u;12
g;13
p;14
m;15
h;16
b;17
y;18
v;19
w;20
x;21
q;22
z;23
